,stats_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,76001,,,,,,,,,,,,,,,,,,,,,
0,76001,,,,,,,,,,,,,,,,,,,,,
0,76001,,,,,,,,,,,,,,,,,,,,,
0,76001,,,,,,,,,,,,,,,,,,,,,
0,76001,,,,,,,,,,,,,,,,,,,,,
0,76001,,,,,,,,,,,,,,,,,,,,,
0,76001,,,,,,,,,,,,,,,,,,,,,
0,76002,,,,,,,,,,,,,,,,,,,,,
0,76002,,,,,,,,,,,,,,,,,,,,,
0,76002,,,,,,,,,,,,,,,,,,,,,
0,76002,,,,,,,,,,,,,,,,,,,,,
0,76002,,,,,,,,,,,,,,,,,,,,,
0,76002,,,,,,,,,,,,,,,,,,,,,
0,76002,,,,,,,,,,,,,,,,,,,,,
0,76003,,,,,,,,,,,,,,,,,,,,,
0,76003,,,,,,,,,,,,,,,,,,,,,
0,76003,,,,,,,,,,,,,,,,,,,,,
0,76003,,,,,,,,,,,,,,,,,,,,,
0,76003,,,,,,,,,,,,,,,,,,,,,
0,76003,,,,,,,,,,,,,,,,,,,,,
0,76003,,,,,,,,,,,,,,,,,,,,,
0,51,2000-01,41,485,26.2,31.0,29.1,11.1,14.9,15.7,14.5,4.5,7.3,6.5,30.3,20.5,11.3,2.1,11.1,20.2,0.0,28.0
0,51,2000-01,41,485,26.2,31.0,29.1,11.1,14.9,15.7,14.5,4.5,7.3,6.5,30.3,20.5,11.3,2.1,11.1,20.2,0.0,28.0
0,51,2000-01,41,485,26.2,31.0,29.1,11.1,14.9,15.7,14.5,4.5,7.3,6.5,30.3,20.5,11.3,2.1,11.1,20.2,0.0,28.0
0,51,2000-01,41,485,26.2,31.0,29.1,11.1,14.9,15.7,14.5,4.5,7.3,6.5,30.3,20.5,11.3,2.1,11.1,20.2,0.0,28.0
0,51,2000-01,41,485,26.2,31.0,29.1,11.1,14.9,15.7,14.5,4.5,7.3,6.5,30.3,20.5,11.3,2.1,11.1,20.2,0.0,28.0
0,51,2000-01,41,485,26.2,31.0,29.1,11.1,14.9,15.7,14.5,4.5,7.3,6.5,30.3,20.5,11.3,2.1,11.1,20.2,0.0,28.0
0,51,2000-01,41,485,26.2,31.0,29.1,11.1,14.9,15.7,14.5,4.5,7.3,6.5,30.3,20.5,11.3,2.1,11.1,20.2,0.0,28.0
0,1505,,,,,,,,,,,,,,,,,,,,,
0,1505,,,,,,,,,,,,,,,,,,,,,
0,1505,,,,,,,,,,,,,,,,,,,,,
0,1505,,,,,,,,,,,,,,,,,,,,,
0,1505,,,,,,,,,,,,,,,,,,,,,
0,1505,,,,,,,,,,,,,,,,,,,,,
0,1505,,,,,,,,,,,,,,,,,,,,,
0,949,2007-08,6,51,15.3,8.8,17.7,0.0,0.0,14.8,11.8,50.0,17.4,28.6,21.1,7.7,12.5,0.0,60.0,45.0,14.3,10.3
0,949,2007-08,6,51,15.3,8.8,17.7,0.0,0.0,14.8,11.8,50.0,17.4,28.6,21.1,7.7,12.5,0.0,60.0,45.0,14.3,10.3
0,949,2007-08,6,51,15.3,8.8,17.7,0.0,0.0,14.8,11.8,50.0,17.4,28.6,21.1,7.7,12.5,0.0,60.0,45.0,14.3,10.3
0,949,2007-08,6,51,15.3,8.8,17.7,0.0,0.0,14.8,11.8,50.0,17.4,28.6,21.1,7.7,12.5,0.0,60.0,45.0,14.3,10.3
0,949,2007-08,6,51,15.3,8.8,17.7,0.0,0.0,14.8,11.8,50.0,17.4,28.6,21.1,7.7,12.5,0.0,60.0,45.0,14.3,10.3
0,949,2007-08,6,51,15.3,8.8,17.7,0.0,0.0,14.8,11.8,50.0,17.4,28.6,21.1,7.7,12.5,0.0,60.0,45.0,14.3,10.3
0,949,2007-08,6,51,15.3,8.8,17.7,0.0,0.0,14.8,11.8,50.0,17.4,28.6,21.1,7.7,12.5,0.0,60.0,45.0,14.3,10.3
0,76005,,,,,,,,,,,,,,,,,,,,,
0,76005,,,,,,,,,,,,,,,,,,,,,
0,76005,,,,,,,,,,,,,,,,,,,,,
0,76005,,,,,,,,,,,,,,,,,,,,,
0,76005,,,,,,,,,,,,,,,,,,,,,
0,76005,,,,,,,,,,,,,,,,,,,,,
0,76005,,,,,,,,,,,,,,,,,,,,,
0,76006,,,,,,,,,,,,,,,,,,,,,
0,76006,,,,,,,,,,,,,,,,,,,,,
0,76006,,,,,,,,,,,,,,,,,,,,,
0,76006,,,,,,,,,,,,,,,,,,,,,
0,76006,,,,,,,,,,,,,,,,,,,,,
0,76006,,,,,,,,,,,,,,,,,,,,,
0,76006,,,,,,,,,,,,,,,,,,,,,
0,76007,,,,,,,,,,,,,,,,,,,,,
0,76007,,,,,,,,,,,,,,,,,,,,,
0,76007,,,,,,,,,,,,,,,,,,,,,
0,76007,,,,,,,,,,,,,,,,,,,,,
0,76007,,,,,,,,,,,,,,,,,,,,,
0,76007,,,,,,,,,,,,,,,,,,,,,
0,76007,,,,,,,,,,,,,,,,,,,,,
0,203518,2018-19,31,588,12.0,11.6,14.1,32.5,31.9,5.7,4.2,3.3,9.9,8.2,8.1,7.7,13.9,7.7,10.7,17.7,10.5,12.7
0,203518,2018-19,31,588,12.0,11.6,14.1,32.5,31.9,5.7,4.2,3.3,9.9,8.2,8.1,7.7,13.9,7.7,10.7,17.7,10.5,12.7
0,203518,2018-19,31,588,12.0,11.6,14.1,32.5,31.9,5.7,4.2,3.3,9.9,8.2,8.1,7.7,13.9,7.7,10.7,17.7,10.5,12.7
0,203518,2016-17,68,1055,15.3,15.5,17.6,44.5,40.3,10.1,8.7,6.7,9.4,8.7,8.6,9.9,22.7,7.5,6.0,24.1,11.2,17.1
0,203518,2017-18,75,1134,12.6,12.9,14.2,29.7,28.0,9.0,7.8,9.8,12.2,11.6,5.8,8.1,19.0,6.7,8.9,24.4,10.3,14.1
0,203518,2018-19,31,588,12.0,11.6,14.1,32.5,31.9,5.7,4.2,3.3,9.9,8.2,8.1,7.7,13.9,7.7,10.7,17.7,10.5,12.7
0,203518,2018-19,31,588,12.0,11.6,14.1,32.5,31.9,5.7,4.2,3.3,9.9,8.2,8.1,7.7,13.9,7.7,10.7,17.7,10.5,12.7
0,101165,2008-09,25,200,19.8,18.5,22.1,21.9,22.5,9.4,11.6,21.1,12.4,14.4,16.9,14.6,13.2,16.7,17.6,14.5,12.0,17.6
